procedure_concept_id,category according to domain expert,concept_name,procedure_concept_id,category according to domain expert
4296594,Diagnostic,Diagnostic laparoscopy,2109120,Procedure
4304920,Procedure,Repair of enterocele by abdominal approach,2109120,Procedure
4331179,Delivery,"Vaginal delivery, medical personnel present",2109120,Procedure
40258617,Procedure,Vulvectectomy and block dissection of inguinal lymph nodes,2109120,Procedure
40258926,Diagnostic,Hysteroscopy,2109120,Procedure
40282186,Diagnostic,Papanicolaou test,2109120,Procedure
40299504,Diagnostic,Cervix biopsy: [surgical] or [cone],2110098,Procedure
40307076,Procedure,Urinary incontinence/sling operation,2110098,Procedure
40307678,Procedure,Cervical electroconisation,2110098,Procedure
40307727,Diagnostic,Colpotomy,2110098,Procedure
40308188,Procedure,Bilateral vulvectomy,2110098,Procedure
40308223,Delivery,Preterm labor (16 to 28 weeks),2110098,Procedure
40308231,Delivery,Caesarean section,2110098,Procedure
40310668,Procedure,Contraceptive method: female sterilisation,2110172,Procedure
40314598,Procedure,Closure of perforated bowel ,2110172,Procedure
40315949,Consultation,New patient consultation,2110172,Procedure
40352855,Diagnostic,Colposcopy,2110172,Procedure
40379574,Consultation,Follow-up consultation,2110172,Procedure
40402912,Procedure,Uterine operation,2110172,Procedure
40598550,Procedure,Cryosurgery,2110172,Procedure
40757042,Procedure,"Injection(s), diagnostic or therapeutic agent",2110172,Procedure
42628264,Consultation,New obstetrical consultation,2110172,Procedure
42628265,Consultation,Follow-up obstetrical consultation,2110172,Procedure
42738986,Consultation,"Telephone call by a physician to patient or for consultation or medical management or for coordinating medical management with other health care professionals (eg, nurses, therapists, social workers, nutritionists, physicians, pharmacists)",2110172,Procedure
44816370,Consultation,Interprofessional telephone/Internet assessment and management service provided by a consultative physician including a verbal and written report to the patient's treating/requesting physician or other qualified health care professional; 31 minutes or mor,2110172,Procedure
45888089,Procedure,Therapeutic laparoscopy,2110172,Procedure
45889037,Diagnostic,Diagnostic Ultrasound Procedures of the Stomach Organs,2110172,Procedure
45889401,Procedure,Repair of high imperforate anus with rectourethral or rectovaginal fistula,2110172,Procedure
45889541,Procedure,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed)",2110172,Procedure
45889752,Procedure,"Vaginal hysterectomy, for uterus 250 g or less",2110172,Procedure
45890386,Procedure,Abortion Procedures,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110172,Procedure
,,,2110224,Procedure
,,,2110224,Procedure
,,,2110224,Procedure
,,,2110224,Procedure
,,,2110224,Procedure
,,,2110224,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2110301,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,2722226,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4003896,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4032167,Procedure
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
,,,4060027,Diagnostic
